content,Sentimen,word_count,char_count,punc_count,processed_reviews,normalized_reviews,tokens,stopword_removed,stemmed_reviews,joined_stemmed_reviews,stopword_removed_custom,stemmed_reviews_custom
Klo bisa Sampek ke malang krna disini banyak pendatang klo ada bis langsung terminal Arjosari kan enak sangat membantu perjalanan kami paling tidak bisa mudik 1 Minggu sekali.,POSITIF,28,148,1,"['klo', 'bisa', 'sampek', 'ke', 'malang', 'krna', 'disini', 'banyak', 'pendatang', 'klo', 'ada', 'bis', 'langsung', 'terminal', 'arjosari', 'kan', 'enak', 'sangat', 'membantu', 'perjalanan', 'kami', 'paling', 'tidak', 'bisa', 'mudik', 'minggu', 'sekali']","['kalau', 'bisa', 'sampek', 'ke', 'malang', 'karena', 'disini', 'banyak', 'pendatang', 'kalau', 'ada', 'bus', 'langsung', 'terminal', 'arjosari', 'kan', 'enak', 'sangat', 'membantu', 'perjalanan', 'kami', 'paling', 'tidak', 'bisa', 'mudik', 'minggu', 'sekali']","['kalau', 'bisa', 'sampek', 'ke', 'malang', 'karena', 'disini', 'banyak', 'pendatang', 'kalau', 'ada', 'bus', 'langsung', 'terminal', 'arjosari', 'kan', 'enak', 'sangat', 'membantu', 'perjalanan', 'kami', 'paling', 'tidak', 'bisa', 'mudik', 'minggu', 'sekali']","['sampek', 'malang', 'pendatang', 'bus', 'langsung', 'terminal', 'arjosari', 'enak', 'membantu', 'perjalanan', 'mudik', 'minggu']","['sampek', 'malang', 'datang', 'bus', 'langsung', 'terminal', 'arjosari', 'enak', 'bantu', 'jalan', 'mudik', 'minggu']",sampek malang datang bus langsung terminal arjosari enak bantu jalan mudik minggu,"['sampek', 'malang', 'pendatang', 'bus', 'langsung', 'terminal', 'arjosari', 'enak', 'membantu', 'perjalanan', 'mudik', 'minggu']","['sampek', 'malang', 'datang', 'bus', 'langsung', 'terminal', 'arjosari', 'enak', 'bantu', 'jalan', 'mudik', 'minggu']"
"Tolong aplikasinya di kondisikan, jumlah penumpang suka eror, kadang tulisannya 0 tapi malah full, kadang penumpangnya dikit tapi di aplikasinya berjumlah 64 , bikin bingung",NEGATIF,25,149,4,"['tolong', 'aplikasinya', 'di', 'kondisikan', 'jumlah', 'penumpang', 'suka', 'eror', 'kadang', 'tulisannya', 'tapi', 'malah', 'full', 'kadang', 'penumpangnya', 'dikit', 'tapi', 'di', 'aplikasinya', 'berjumlah', 'bikin', 'bingung']","['tolong', 'aplikasinya', 'di', 'kondisikan', 'jumlah', 'penumpang', 'suka', 'eror', 'kadang', 'tulisannya', 'tapi', 'malah', 'full', 'kadang', 'penumpangnya', 'dikit', 'tapi', 'di', 'aplikasinya', 'berjumlah', 'bikin', 'bingung']","['tolong', 'aplikasinya', 'di', 'kondisikan', 'jumlah', 'penumpang', 'suka', 'eror', 'kadang', 'tulisannya', 'tapi', 'malah', 'full', 'kadang', 'penumpangnya', 'dikit', 'tapi', 'di', 'aplikasinya', 'berjumlah', 'bikin', 'bingung']","['tolong', 'aplikasinya', 'kondisikan', 'penumpang', 'suka', 'eror', 'kadang', 'tulisannya', 'full', 'kadang', 'penumpangnya', 'dikit', 'aplikasinya', 'bikin', 'bingung']","['tolong', 'aplikasi', 'kondisi', 'tumpang', 'suka', 'eror', 'kadang', 'tulis', 'full', 'kadang', 'tumpang', 'dikit', 'aplikasi', 'bikin', 'bingung']",tolong aplikasi kondisi tumpang suka eror kadang tulis full kadang tumpang dikit aplikasi bikin bingung,"['tolong', 'aplikasinya', 'kondisikan', 'penumpang', 'suka', 'eror', 'kadang', 'tulisannya', 'full', 'kadang', 'penumpangnya', 'dikit', 'aplikasinya', 'bikin', 'bingung']","['tolong', 'aplikasi', 'kondisi', 'tumpang', 'suka', 'eror', 'kadang', 'tulis', 'full', 'kadang', 'tumpang', 'dikit', 'aplikasi', 'bikin', 'bingung']"
Kapan lewat Kwanyar Bangkalan min ?,POSITIF,6,30,1,"['kapan', 'lewat', 'kwanyar', 'bangkalan', 'min']","['kapan', 'lewat', 'kwanyar', 'bangkalan', 'min']","['kapan', 'lewat', 'kwanyar', 'bangkalan', 'min']","['kwanyar', 'bangkalan', 'min']","['kwanyar', 'bangkal', 'min']",kwanyar bangkal min,"['kwanyar', 'bangkalan', 'min']","['kwanyar', 'bangkal', 'min']"
Mohon penumpang dengan barang bawaan yg banyak diperbolehkan bayar untuk 2 seat (1 seat untuk barang bawaannya),NEGATIF,17,95,2,"['mohon', 'penumpang', 'dengan', 'barang', 'bawaan', 'yg', 'banyak', 'diperbolehkan', 'bayar', 'untuk', 'seat', 'seat', 'untuk', 'barang', 'bawaannya']","['mohon', 'penumpang', 'dengan', 'barang', 'bawaan', 'yang', 'banyak', 'diperbolehkan', 'bayar', 'untuk', 'seat', 'seat', 'untuk', 'barang', 'bawaannya']","['mohon', 'penumpang', 'dengan', 'barang', 'bawaan', 'yang', 'banyak', 'diperbolehkan', 'bayar', 'untuk', 'seat', 'seat', 'untuk', 'barang', 'bawaannya']","['mohon', 'penumpang', 'barang', 'bawaan', 'diperbolehkan', 'bayar', 'seat', 'seat', 'barang', 'bawaannya']","['mohon', 'tumpang', 'barang', 'bawa', 'boleh', 'bayar', 'seat', 'seat', 'barang', 'bawa']",mohon tumpang barang bawa boleh bayar seat seat barang bawa,"['mohon', 'penumpang', 'barang', 'bawaan', 'diperbolehkan', 'bayar', 'seat', 'seat', 'barang', 'bawaannya']","['mohon', 'tumpang', 'barang', 'bawa', 'boleh', 'bayar', 'seat', 'seat', 'barang', 'bawa']"
Mohon ditambahkan halte / shelter dijalan kenjeran dari arah suramadu..didepan makan WR atau depan rangkah gang 2 atau depan BRI. TERIMA KASIH,POSITIF,22,121,4,"['mohon', 'ditambahkan', 'halte', 'shelter', 'dijalan', 'kenjeran', 'dari', 'arah', 'suramadudidepan', 'makan', 'wr', 'atau', 'depan', 'rangkah', 'gang', 'atau', 'depan', 'bri', 'terima', 'kasih']","['mohon', 'ditambahkan', 'halte', 'shelter', 'dijalan', 'kenjeran', 'dari', 'arah', 'suramadudidepan', 'makan', 'wr', 'atau', 'depan', 'rangkah', 'gang', 'atau', 'depan', 'bri', 'terima', 'kasih']","['mohon', 'ditambahkan', 'halte', 'shelter', 'dijalan', 'kenjeran', 'dari', 'arah', 'suramadudidepan', 'makan', 'wr', 'atau', 'depan', 'rangkah', 'gang', 'atau', 'depan', 'bri', 'terima', 'kasih']","['mohon', 'halte', 'shelter', 'dijalan', 'kenjeran', 'arah', 'suramadudidepan', 'makan', 'wr', 'rangkah', 'gang', 'bri', 'terima', 'kasih']","['mohon', 'halte', 'shelter', 'jalan', 'kenjeran', 'arah', 'suramadudidepan', 'makan', 'wr', 'rang', 'gang', 'bri', 'terima', 'kasih']",mohon halte shelter jalan kenjeran arah suramadudidepan makan wr rang gang bri terima kasih,"['mohon', 'halte', 'shelter', 'dijalan', 'kenjeran', 'arah', 'suramadudidepan', 'makan', 'wr', 'rangkah', 'gang', 'bri', 'terima', 'kasih']","['mohon', 'halte', 'shelter', 'jalan', 'kenjeran', 'arah', 'suramadudidepan', 'makan', 'wr', 'rang', 'gang', 'bri', 'terima', 'kasih']"
Kenapa tdk ada yg dr timur ya...saya dr galis...,NEGATIF,9,40,6,"['kenapa', 'tdk', 'ada', 'yg', 'dr', 'timur', 'yasaya', 'dr', 'galis']","['kenapa', 'tidak', 'ada', 'yang', 'dari', 'timur', 'yasaya', 'dari', 'galis']","['kenapa', 'tidak', 'ada', 'yang', 'dari', 'timur', 'yasaya', 'dari', 'galis']","['timur', 'yasaya', 'galis']","['timur', 'yasaya', 'galis']",timur yasaya galis,"['timur', 'yasaya', 'galis']","['timur', 'yasaya', 'galis']"
"Menyusahkan pengguna, kemunduran dalam trasportasi tidak bisa transit. Semoga K2 semakin sepi biar pemangku kebijakan bisa melek melihat kondisi",NEGATIF,19,126,2,"['menyusahkan', 'pengguna', 'kemunduran', 'dalam', 'trasportasi', 'tidak', 'bisa', 'transit', 'semoga', 'k', 'semakin', 'sepi', 'biar', 'pemangku', 'kebijakan', 'bisa', 'melek', 'melihat', 'kondisi']","['menyusahkan', 'pengguna', 'kemunduran', 'dalam', 'trasportasi', 'tidak', 'bisa', 'transit', 'semoga', 'k', 'semakin', 'sepi', 'biar', 'pemangku', 'kebijakan', 'bisa', 'melek', 'melihat', 'kondisi']","['menyusahkan', 'pengguna', 'kemunduran', 'dalam', 'trasportasi', 'tidak', 'bisa', 'transit', 'semoga', 'k', 'semakin', 'sepi', 'biar', 'pemangku', 'kebijakan', 'bisa', 'melek', 'melihat', 'kondisi']","['menyusahkan', 'pengguna', 'kemunduran', 'trasportasi', 'transit', 'semoga', 'k', 'sepi', 'biar', 'pemangku', 'kebijakan', 'melek', 'kondisi']","['susah', 'guna', 'mundur', 'trasportasi', 'transit', 'moga', 'k', 'sepi', 'biar', 'mang', 'bijak', 'melek', 'kondisi']",susah guna mundur trasportasi transit moga k sepi biar mang bijak melek kondisi,"['menyusahkan', 'pengguna', 'kemunduran', 'trasportasi', 'transit', 'semoga', 'k', 'sepi', 'biar', 'pemangku', 'kebijakan', 'melek', 'kondisi']","['susah', 'guna', 'mundur', 'trasportasi', 'transit', 'moga', 'k', 'sepi', 'biar', 'mang', 'bijak', 'melek', 'kondisi']"
Tolong di dekat SPBU Kedung cowek di kasih rambu naik/turun Soalnya jauh kalau mau ke Selter Kedung cowek 2,NEGATIF,19,89,1,"['tolong', 'di', 'dekat', 'spbu', 'kedung', 'cowek', 'di', 'kasih', 'rambu', 'naikturun', 'soalnya', 'jauh', 'kalau', 'mau', 'ke', 'selter', 'kedung', 'cowek']","['tolong', 'di', 'dekat', 'spbu', 'kedung', 'cowek', 'di', 'kasih', 'rambu', 'naikturun', 'soalnya', 'jauh', 'kalau', 'mau', 'ke', 'selter', 'kedung', 'cowek']","['tolong', 'di', 'dekat', 'spbu', 'kedung', 'cowek', 'di', 'kasih', 'rambu', 'naikturun', 'soalnya', 'jauh', 'kalau', 'mau', 'ke', 'selter', 'kedung', 'cowek']","['tolong', 'spbu', 'kedung', 'cowek', 'kasih', 'rambu', 'naikturun', 'selter', 'kedung', 'cowek']","['tolong', 'spbu', 'kedung', 'cowek', 'kasih', 'rambu', 'naikturun', 'selter', 'kedung', 'cowek']",tolong spbu kedung cowek kasih rambu naikturun selter kedung cowek,"['tolong', 'spbu', 'kedung', 'cowek', 'kasih', 'rambu', 'naikturun', 'selter', 'kedung', 'cowek']","['tolong', 'spbu', 'kedung', 'cowek', 'kasih', 'rambu', 'naikturun', 'selter', 'kedung', 'cowek']"
keren,POSITIF,1,5,0,['keren'],['keren'],['keren'],['keren'],['keren'],keren,['keren'],['keren']
Aplikasi ini sangat membantu dalam transportasi publik,POSITIF,7,48,0,"['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'transportasi', 'publik']","['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'transportasi', 'publik']","['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'transportasi', 'publik']","['aplikasi', 'membantu', 'transportasi', 'publik']","['aplikasi', 'bantu', 'transportasi', 'publik']",aplikasi bantu transportasi publik,"['aplikasi', 'membantu', 'transportasi', 'publik']","['aplikasi', 'bantu', 'transportasi', 'publik']"
Alhamdulillah... Rute SBY - Bangkalan dan sebaliknya sudah bisa diakses. C anak saya kalau pulang dari sekolah di malang bisa langsung terkoneksi hingga bangkalan kota. Makasih,POSITIF,26,151,6,"['alhamdulillah', 'rute', 'sby', 'bangkalan', 'dan', 'sebaliknya', 'sudah', 'bisa', 'diakses', 'c', 'anak', 'saya', 'kalau', 'pulang', 'dari', 'sekolah', 'di', 'malang', 'bisa', 'langsung', 'terkoneksi', 'hingga', 'bangkalan', 'kota', 'makasih']","['alhamdulillah', 'rute', 'sby', 'bangkalan', 'dan', 'sebaliknya', 'sudah', 'bisa', 'diakses', 'c', 'anak', 'saya', 'kalau', 'pulang', 'dari', 'sekolah', 'di', 'malang', 'bisa', 'langsung', 'terkoneksi', 'hingga', 'bangkalan', 'kota', 'makasih']","['alhamdulillah', 'rute', 'sby', 'bangkalan', 'dan', 'sebaliknya', 'sudah', 'bisa', 'diakses', 'c', 'anak', 'saya', 'kalau', 'pulang', 'dari', 'sekolah', 'di', 'malang', 'bisa', 'langsung', 'terkoneksi', 'hingga', 'bangkalan', 'kota', 'makasih']","['alhamdulillah', 'rute', 'sby', 'bangkalan', 'diakses', 'c', 'anak', 'pulang', 'sekolah', 'malang', 'langsung', 'terkoneksi', 'bangkalan', 'kota', 'makasih']","['alhamdulillah', 'rute', 'sby', 'bangkal', 'akses', 'c', 'anak', 'pulang', 'sekolah', 'malang', 'langsung', 'koneksi', 'bangkal', 'kota', 'makasih']",alhamdulillah rute sby bangkal akses c anak pulang sekolah malang langsung koneksi bangkal kota makasih,"['alhamdulillah', 'rute', 'sby', 'bangkalan', 'diakses', 'c', 'anak', 'pulang', 'sekolah', 'malang', 'langsung', 'terkoneksi', 'bangkalan', 'kota', 'makasih']","['alhamdulillah', 'rute', 'sby', 'bangkal', 'akses', 'c', 'anak', 'pulang', 'sekolah', 'malang', 'langsung', 'koneksi', 'bangkal', 'kota', 'makasih']"
